Team,Player,NBA,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos,LaneAgilityTime,ShuttleRun,ThreeQuarterSprint,StandingVerticalLeap,MaxVerticalLeap,MaxBenchPress,BodyFat%,HandLength,HandWidth,HeightNoShoes,HeightShoes,StandingReach,Weight,Wingspan,PID,Pk,DraftTeam,RkYear,HeightShoesC,HeightNoShoesC,StandingReachC,WingspanC
maryland,Juan Dixon,1,36,36,33.6,7,14.9,0.469,4.4,8.4,0.525,2.6,6.4,0.397,3.9,4.4,0.898,1.4,3.3,4.6,2.9,2.6,0.2,2.5,2,20.4,0,,0,,0,,0,,0,,0,,0,,0,dixonju01,17,WAS,2002,0,,0,
maryland,Lonny Baxter,1,35,35,28.7,5.5,10.1,0.545,5.5,10.1,0.547,0,0,0,4.2,6.7,0.623,2.3,5.9,8.2,0.8,0.9,2,2.2,2.9,15.2,0,,0,,0,,0,,0,,0,,0,,0,baxtelo01,44,CHI,2002,0,,0,
miami-fl,John Salmons,1,32,32,33.7,4.3,9.3,0.461,3.6,7.1,0.509,0.7,2.2,0.31,3.8,4.6,0.842,1.8,4.1,6,6.1,1.8,0.6,3.7,2.3,13.1,0,,0,,0,,0,,0,,0,,0,,0,salmojo01,26,SAS,2002,0,,0,
tennessee,Vincent Yarbrough,1,31,31,35.4,6.3,14.7,0.425,4.3,9.4,0.462,1.9,5.4,0.359,3.6,5.3,0.687,2.3,5.3,7.5,2.8,1.9,0.8,3,1.9,18.1,SF,11.70,0,3.32,30.0,34.0,10,0,,0,,0,,0,,yarbrvi01,33,DEN,2002,0,,0,
tennessee,Marcus Haislip,1,25,24,33.6,6.4,12.4,0.518,5.8,10.6,0.551,0.6,1.8,0.326,3.2,4.4,0.721,2.2,4.4,6.7,1,0.4,1.8,2,3.4,16.7,PF,11.35,0,3.21,33.5,36.5,8,0,,0,,0,,0,,haislma01,13,MIL,2002,0,,0,
texas,Chris Owens,1,11,11,27.2,5.6,11.3,0.5,5.4,10.4,0.518,0.3,0.9,0.3,4.3,6.8,0.627,2.9,4.5,7.4,0.8,0.7,1.9,1.7,2.5,15.8,0,,0,,0,,0,,0,,0,,0,,0,owensch01,48,MIL,2002,0,,0,
virginia,Roger Mason,1,29,29,36.1,5.6,13.7,0.409,2.8,6,0.463,2.8,7.6,0.367,4.6,5.2,0.881,0.6,2.6,3.2,4.1,0.9,0.4,3,2.2,18.6,0,,0,,0,,0,,0,,0,,0,,0,masonro01,31,CHI,2002,0,,0,
connecticut,Caron Butler,1,34,34,36,7.4,15.3,0.486,6.6,13.1,0.5,0.9,2.2,0.4,4.6,5.9,0.779,3.2,4.4,7.5,3,2.1,0.4,2.9,2.2,20.3,0,,0,,0,,0,,0,,0,,0,,0,butleca01,10,MIA,2002,0,,0,
fresno-state,Chris Jefferies,1,21,21,34.6,5.5,13.1,0.418,3.5,7.3,0.474,2,5.8,0.347,4.4,6.9,0.634,1.2,5.1,6.3,3,1.2,1.2,2.4,2.8,17.3,0,,0,,0,,0,,0,,0,,0,,0,jeffech01,27,LAL,2002,0,,0,
gonzaga,Dan Dickau,1,32,32,34.7,6.1,13.8,0.441,2.4,5.8,0.419,3.7,8,0.457,5.2,6,0.864,0.5,2.5,3,4.7,0.8,0.1,2.9,1.9,21,0,,0,,0,,0,,0,,0,,0,,0,dickada01,28,SAC,2002,0,,0,
indiana,Jared Jeffries,1,36,36,32.6,5.3,11.5,0.457,4.5,9.5,0.472,0.8,2,0.38,3.7,5.6,0.667,2.5,5.1,7.6,2.1,1.5,1.3,2.8,2.4,15,PF,11.73,0,3.40,26.0,30.0,9,0,,0,,0,,0,,jeffrja01,11,WAS,2002,0,,0,
maryland,Chris Wilcox,1,36,26,24.1,4.8,9.5,0.504,4.8,9.5,0.507,0,0.1,0,2.4,4.1,0.585,2.7,4.4,7.1,1.5,0.8,1.5,1.5,2.7,12,0,,0,,0,,0,,0,,0,,0,,0,wilcoch01,8,LAC,2002,0,,0,
notre-dame,Ryan Humphrey,1,31,31,35.6,7.5,15.2,0.489,7.4,15,0.489,0.1,0.2,0.5,3.9,6.6,0.598,3.7,7.2,10.9,2.6,1.1,2.8,2.5,2.7,18.9,0,,0,,0,,0,,0,,0,,0,,0,humphry01,19,UTA,2002,0,,0,
california,Jamal Sampson,1,32,31,24.9,2.4,5.7,0.426,2.4,5.7,0.426,0,0,0,1.6,3,0.526,2.5,4.1,6.5,1.2,0.5,1.7,1.7,2.7,6.4,0,,0,,0,,0,,0,,0,,0,,0,sampsja01,47,UTA,2002,0,,0,
san-diego-state,Randy Holcomb,1,33,32,32.3,6.7,12.9,0.516,6.3,11.7,0.539,0.4,1.2,0.3,3.2,5.1,0.635,2.7,6.3,9,1.7,0.7,1,3.5,2.5,16.9,0,,0,,0,,0,,0,,0,,0,,0,holcora01,57,SAS,2002,0,,0,
arizona,Luke Walton,1,28,28,27.6,3.8,9.1,0.42,2.8,6.5,0.434,1,2.6,0.384,2.1,3.1,0.678,1.4,4.2,5.6,5.1,0.9,0.3,2.8,2,10.8,0,,0,,0,,0,,0,,0,,0,,0,waltolu01,32,LAL,2003,0,,0,
illinois,Brian Cook,1,30,30,31.3,6.7,14.1,0.479,5.8,11.1,0.526,0.9,3,0.303,5.6,6.8,0.82,1.5,6.1,7.6,2,0.7,0.4,2.8,2.9,20,0,,0,,0,,0,,0,,0,,0,,0,cookbr01,24,LAL,2003,0,,0,
kansas,Kirk Hinrich,1,37,37,33.5,6.3,13.2,0.475,3.9,7.3,0.532,2.4,5.9,0.406,2.4,3.4,0.704,1,2.7,3.8,3.5,1.9,0.4,2.2,2.1,17.3,0,,0,,0,,0,,0,,0,,0,,0,hinriki01,7,CHI,2003,0,,0,
kansas,Nick Collison,1,38,38,32.4,7.4,13.3,0.554,7.1,12.3,0.571,0.3,1,0.342,3.3,5.3,0.635,3.3,6.7,10,2.2,1.2,1.9,2.4,2.5,18.5,PF,11.62,0,3.28,28.0,33.0,8,0,,0,,0,,0,,collini01,12,SEA,2003,0,,0,
maryland,Steve Blake,1,31,31,32.5,3.7,8.9,0.415,1.6,3.9,0.413,2.1,5,0.416,2.2,2.7,0.819,0.7,3,3.7,7.1,1.6,0.2,3.2,1.7,11.6,0,,0,,0,,0,,0,,0,,0,,0,blakest01,38,WAS,2003,0,,0,
miami-fl,James Jones,1,28,28,34.2,5.6,12.5,0.447,4.2,9,0.466,1.4,3.6,0.4,4.2,5.1,0.831,1.9,4.2,6,1.8,1.6,1.8,2.5,2.7,16.9,SF,11.18,0,3.19,30.5,33.0,9,0,,0,,0,,0,,jonesja02,49,IND,2003,0,,0,
mississippi-state,Derrick Zimmerman,1,31,31,33,3.2,6.7,0.476,2.7,5,0.538,0.5,1.7,0.288,2,3.1,0.649,0.8,3.4,4.2,5.5,1.9,0.8,3.4,2.1,8.9,PG,11.09,0,3.10,34.0,40.5,13,0,,0,,0,,0,,zimmede01,40,GSW,2003,0,,0,
duke,Dahntay Jones,1,33,30,30.7,6,12.8,0.47,4.6,9.2,0.498,1.4,3.6,0.398,4.2,5.7,0.749,1.4,4.1,5.5,0.9,1.2,0.5,1.9,3.1,17.7,0,,0,,0,,0,,0,,0,,0,,0,jonesda02,20,BOS,2003,0,,0,
xavier,David West,1,32,32,36.5,6.7,13,0.513,6.4,12.2,0.524,0.3,0.8,0.346,6.5,8,0.816,3.1,8.7,11.8,3.2,1.3,1.6,2.7,3,20.1,0,,0,,0,,0,,0,,0,,0,,0,westda01,18,NOH,2003,0,,0,
brigham-young,Travis Hansen,1,32,32,32,5.3,12,0.441,4.2,8.7,0.48,1.1,3.3,0.34,5.1,6.4,0.799,1.7,3.1,4.8,2.4,0.9,0.6,2.6,3,16.8,SG,10.72,0,3.18,31.5,35.0,16,0,,0,,0,,0,,hansetr01,37,ATL,2003,0,,0,
